"prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status"
"Actinopterygii","Perciformes","Gempylidae","Lepidocybium flavobrunneum","larva","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","compressiform",NA,1,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Gempylidae","Rexea prometheoides","adult","mesopelagic","continental slope","NA","diel_UN","0","refuge_no","NA","season_NA","elongated",40,1,"0","0","1","1","schooling","4.17","commercial"
"Actinopterygii","Perciformes","Gempylidae","Rexea prometheoides","juvenile","mesopelagic","continental slope","NA","diel_UN","0","refuge_no","NA","season_NA","elongated",NA,1,"0","0","1","1","schooling","NA","none"
"Actinopterygii","Perciformes","Gempylidae","Rexea prometheoides","larva","epipelagic","continental slope","NA","diel_UN","0","refuge_no","NA","season_NA","elongated",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Gempylidae","Thyrsitoides marleyi","adult","mesopelagic","continental slope","1","diel_yes","0","refuge_no","NA","season_NA","elongated",200,1,"0","0","1","0","NA","4.1900000000000004","minor commercial"
"Actinopterygii","Perciformes","Gempylidae","Thyrsitoides marleyi","juvenile","mesopelagic","continental slope","1","diel_yes","0","refuge_no","NA","season_NA","elongated",101.1,1,"0","0","1","0","NA","NA","none"
"Actinopterygii","Perciformes","Gempylidae","Thyrsitoides marleyi","larva","mesopelagic","continental slope","1","diel_yes","0","refuge_no","NA","season_NA","elongated",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Istiophoridae","Makaira mazara","adult","epipelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",500,0,"0","0","1","1","solitary","4.46","commercial"
"Actinopterygii","Perciformes","Istiophoridae","Makaira mazara","juvenile","epipelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",130,0,"0","0","1","1","solitary","NA","none"
"Actinopterygii","Perciformes","Istiophoridae","Makaira mazara","larva","epipelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",1.16,1,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Nomeidae","Cubiceps capensis","adult","epipelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","fusiform",101,1,"0","0","1","1","schooling","3.4","minor commercial"
"Actinopterygii","Perciformes","Nomeidae","Cubiceps capensis","juvenile","epipelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","fusiform",NA,1,"0","0","1","1","schooling","NA","none"
"Actinopterygii","Perciformes","Nomeidae","Cubiceps capensis","larva","epipelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","fusiform",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Nomeidae","Cubiceps pauciradiatus","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","fusiform",20,1,"0","0","1","0","schooling","3.6","none"
"Actinopterygii","Perciformes","Nomeidae","Cubiceps pauciradiatus","juvenile","epipelagic","oceanic","0","diel_no","1","refuge_yes","NA","season_NA","fusiform",NA,1,"0","0","1","0","schooling","NA","none"
"Actinopterygii","Perciformes","Nomeidae","Cubiceps pauciradiatus","larva","epipelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","fusiform",0.86,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","adult","demersal","reef-associated","0","diel_no","1","refuge_yes","1","season_yes","fusiform",69,1,"0","0","1","0","solitary","3.5","commercial"
"Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","juvenile","epipelagic","continental shelf","NA","diel_UN","0","refuge_no","1","season_yes","fusiform",NA,1,"0","0","1","0","solitary","NA","none"
"Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","larva","epipelagic","continental shelf","NA","diel_UN","0","refuge_no","1","season_yes","fusiform",NA,0,"1","1","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","adult","mesopelagic","continental shelf","1","diel_yes","0","refuge_no","0","season_no","fusiform",30,1,"0","0","0","0","NA","3.95","none"
"Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","juvenile","epipelagic","continental shelf","1","diel_yes","0","refuge_no","0","season_no","fusiform",NA,1,"0","0","0","0","NA","NA","none"
"Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","larva","epipelagic","continental shelf","1","diel_yes","0","refuge_no","0","season_no","fusiform",1.47,0,"0","0","0","0","schooling","NA","none"
"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","adult","benthic","reef-associated","0","diel_no","1","refuge_yes","0","season_no","elongated",40,1,"0","1","0","0","solitary","3.68","minor commercial"
"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","juvenile","epipelagic","coastal","NA","diel_UN","0","refuge_no","0","season_no","elongated",NA,1,"0","1","0","0","solitary","NA","none"
"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","larva","epipelagic","coastal","NA","diel_UN","0","refuge_no","0","season_no","elongated",1.735,0,"0","1","0","0","schooling","NA","none"
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","compressiform",8.3,1,"0","0","1","0","solitary","3.71","none"
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","compressiform",2.1,1,"0","0","1","0","solitary","NA","none"
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","larva","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","compressiform",NA,0,"0","1","0","0","schooling","NA","none"
"Actinopterygii","Tetraodontiformes","Balistidae","Balistes punctatus","adult","demersal","coastal","NA","diel_UN","NA","refuge_NA","NA","season_NA","compressiform",60,0,"0","1","0","0","solitary","3.36","commercial"
