"prey_sp","prey_age_reported_1","maxl_type","maxL (cm)","maxGape (cm)","life_stage","life_note"
"Odontodactylus scyllarus","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Ommastrephes bartramii","none","NO",0,9.61765,"juvenile",NA
"Omosudis lowii","none","NO",0,10.0703,"juvenile",NA
"Onychoteuthis banksii","juvenile","NO",0,7.38732,"juvenile","McHugh (1952) reported juveniles"
"Onychoteuthis banksii","none","NO",0,9.61765,"juvenile","McHugh (1952) reported juveniles"
"Onychoteuthis borealijaponica","none","NO",0,7.97988,"juvenile",NA
"Onychoteuthis borealijaponica","none","PB",0.8,7.97988,"juvenile",NA
"Onykia loennbergii","none","NO",0,9.61765,"juvenile",NA
"Onykia robusta","none","NO",0,7.38732,"juvenile","Most likely juvenile / young-of-year"
"Onykia robusta","none","PB",0.1,7.97988,"juvenile","Most likely juvenile / young-of-year"
"Opisthoteuthis californiana","none","NO",0,7.38732,"juvenile","Likely the not-yet settled juvenile phase"
"Oplophorus typus","none","NO",0,9.61765,"adult",NA
"Ornithoteuthis antillarum","juvenile","NO",0,9.15677,"juvenile","DosSantos reported juveniles"
"Ornithoteuthis volatilis","none","NO",0,9.61765,"juvenile",NA
"Ostracion cubicus","none","NO",0,9.61765,"juvenile","Could be larval but lacking size info"
"Palinurus mauritanicus","juvenile","NO",0,7.75767,"larva","Bouxin & Legendre reported larvae and an occurence of juveniles, extremely unlilely to eat adults."
"Palinurus mauritanicus","larva","NO",0,7.75767,"larva","Bouxin & Legendre reported larvae and an occurence of juveniles, extremely unlilely to eat adults."
"Paralepis coregonoides","adult","NO",0,9.52712,"juvenile","Consoli et al. (2008) reported"
"Paralepis coregonoides","none","NO",0,7.75767,"juvenile","Consoli et al. (2008) reported"
"Paralepis speciosa","adult","NO",0,9.52712,"juvenile","Consoli et al. (2008) reported"
"Parapasiphae sulcatifrons","none","NO",0,7.75767,"adult",NA
"Parapronoe crustulum","none","NO",0,7.0256938,"adult",NA
"Parribacus antarcticus","none","NO",0,9.61765,"larva","Most likely consumed larvae / y-o-y as indicated by similar species consumed in Bouxin & Legendre study"
"Peprilus simillimus","none","NO",0,7.38732,"juvenile",NA
"Peristedion gracile","none","NO",0,10.0703,"juvenile","Probably larva"
"Photonectes margarita","none","NO",0,7.38732,"juvenile","Most likely juvenile / young-of-year"
"Phrosina semilunata","adult","NO",0,7.75767,"adult",NA
"Phrosina semilunata","none","NO",0,10.0703,"adult",NA
"Platyscelus armatus","none","NO",0,7.38732,"adult",NA
"Platyscelus ovoides","none","NO",0,9.61765,"adult",NA
"Platyscelus serratulus","none","NO",0,9.52712,"adult",NA
"Pleuroncodes planipes","adult","NO",0,7.38732,"juvenile","Likely to eat juveniles (see season note)"
"Pleuroncodes planipes","adult","PB",3.38,7.97988,"juvenile","Likely to eat juveniles (see season note)"
"Pleuroncodes planipes","none","NO",0,7.97988,"juvenile","Likely to eat juveniles (see season note)"
"Pleuronichthys decurrens","none","NO",0,7.38732,"juvenile","Most likely juvenile / young-of-year"
"Pleuronichthys decurrens","none","PB",1.8,7.97988,"juvenile","Most likely juvenile / young-of-year"
"Polybius henslowii","adult","NO",0,7.75767,"larva","Bouxin & Legendre reported larvae and an occurence of adults"
"Polybius henslowii","larva","NO",0,7.75767,"larva","Bouxin & Legendre reported larvae and an occurence of adults"
"Polybius henslowii","none","NO",0,6.95936,"larva","Bouxin & Legendre reported larvae and an occurence of adults"
"Primno macropa","none","NO",0,9.52712,"adult",NA
"Protomyctophum crockeri","none","NO",0,7.38732,"adult",NA
"Psenes pellucidus","none","NO",0,10.0703,"juvenile",NA
"Pteroctopus tetracirrhus","juvenile","NO",0,7.752732,"juvenile","Romeo et al. (2012) reported juveniles"
"Pterycombus petersii","none","NO",0,9.61765,"juvenile",NA
"Pterygioteuthis giardi","none","NO",0,7.83997,"adult",NA
"Pterygioteuthis microlampas","juvenile","NO",0,7.38732,"juvenile","McHugh (1952) reported juveniles"
"Pyrosoma atlanticum","none","NO",0,7.75767,"adult",NA
"Pyroteuthis margaritifera","none","NO",0,9.61765,"adult",NA
"Ranzania laevis","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Rexea prometheoides","none","NO",0,9.61765,"juvenile","Based on traits"
"Rhinogobiops nicholsii","none","NO",0,7.38732,"juvenile","Based on traits"
"Robustosergia robusta","none","NO",0,7.75767,"adult",NA
"Salpa maxima","none","NO",0,9.61765,"adult",NA
"Sardina pilchardus","none","NO",0,9.52712,"juvenile",NA
"Sardinella aurita","none","NO",0,9.52712,"juvenile","Reported multiple life stages"
"Sardinops sagax","juvenile","PB",4.92,7.97988,"juvenile","Glaser (2010), Madigan et al. (2015) reported juvenile and y-o-y life stages consumed"
"Sardinops sagax","juvenile","TL",0,7.97988,"juvenile","Glaser (2010), Madigan et al. (2015) reported juvenile and y-o-y life stages consumed"
"Sardinops sagax","larva","NO",0,7.38732,"juvenile","Glaser (2010), Madigan et al. (2015) reported juvenile and y-o-y life stages consumed"
"Scaeurgus unicirrhus","juvenile","NO",0,7.752732,"juvenile","Romeo et al. (2012) reported juveniles"
"Scaeurgus unicirrhus","none","NO",0,7.83997,"juvenile","Romeo et al. (2012) reported juveniles"
"Scomber japonicus","larva","NO",0,7.38732,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Scomber japonicus","none","NO",0,10.0703,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Scomber japonicus","none","TL",0,7.97988,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Scomber scombrus","none","NO",0,7.75767,"juvenile","Most likely juvenile / young-of-year"
"Scomberesox saurus","none","NO",1.5,9.61765,"juvenile","Can be adult or juvenile life stage based on reported length"
"Scomberesox saurus","none","SL",22.1,7.75767,"juvenile","Can be adult or juvenile life stage based on reported length"
"Scombrolabrax heterolepis","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Scopelarchus analis","none","NO",0,9.61765,"adult",NA
"Scopelogadus bispinosus","none","NO",0,7.38732,"adult",NA
"Scopelosaurus hoedti","none","NO",0,9.61765,"adult",NA
"Scyllarus arctus","adult","NO",0,7.75767,"larva","Bouxin & Legendre reported larvae and an occurence of juveniles and adults"
"Scyllarus arctus","juvenile","NO",0,7.75767,"larva","Bouxin & Legendre reported larvae and an occurence of juveniles and adults"
"Scyllarus arctus","larva","NO",0,7.75767,"larva","Bouxin & Legendre reported larvae and an occurence of juveniles and adults"
"Scyllarus arctus","none","NO",0,6.78653,"larva","Bouxin & Legendre reported larvae and an occurence of juveniles and adults"
"Sebastes aleutianus","juvenile","PB",1.18,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
"Sebastes brevispinis","juvenile","PB",1.25,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
"Sebastes diploproa","juvenile","PB",1.68,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
"Sebastes helvomaculatus","juvenile","NO",0,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
"Sebastes maliger","juvenile","NO",0,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
"Sebastes miniatus","juvenile","PB",0.99,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
"Sebastes proriger","juvenile","PB",1.44,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
